Links to profile,Name Account/Influencer,Professional Activity,Nationality,Brand,Account description,Number of posts,Number of followers,Number of followings,Verified Status,Publication number,Post description,Post number of comments,Post number of likes,Posting date,Media Type
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,24,Relax 😜✌️👌,16017,1 126 263,2015-11-18T20:13:45.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,25,#CR7Drive fuels my workouts and enhances hydration to keep me at the top of my game. Drive your active lifestyle with my new sports drink developed with @Herbalife24. Check out @CR7DriveOfficial for more.,6866,791 082,2015-11-19T11:59:10.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,26,Nearly there⚽️👍👌,8893,1 034 616,2015-11-19T19:05:38.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,27,Dinner With my boys!!!!🍲🍲,5200,872 515,2015-11-19T22:24:24.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,28,👍👍👍⚽️✌️,7893,960 329,2015-11-20T11:29:41.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,29,Relax ✌️👌⚽️🔝👍,9538,996 855,2015-11-20T13:08:01.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,30,Team is ready🙏✌️👌👍,45755,1 030 559,2015-11-21T15:07:45.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,31,⚽️⚽️👍✌️,6147,918 676,2015-12-07T11:57:47.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,32,Happy Holidays!!,19632,3 107 606,2015-12-07T16:00:15.000Z,Video
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,33,Starting to read the book of my friend Jose Semedo.,25163,981 346,2015-11-23T16:53:35.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,34,Round of sixteen! Here we go #realmadrid,12127,1 122 861,2015-11-25T23:50:05.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,35,"Whenever visiting my homeland #Madeira, don’t miss a visit to Funchal Marketplace “Mercado dos Lavradores”. Here, you can find a mix of aromas, colours and flavours. I can already feel and smell it!

#visitmadeira

#madeiraallyear",4337,734 938,2015-11-26T15:16:14.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,36,Gym With Junior✌️👍,14941,1 316 770,2015-11-26T18:10:09.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,37,Here’s an exclusive video with my #CR7shirts X-mas collection! Love the collection- check it out now on www.CR7shirts.com,7852,2 137 780,2015-11-27T15:01:12.000Z,Video
