Links to profile,Links to publication,Name Account/Influencer,Professional Activity,Account description,Number of posts,Number of followers,Number of followings,Verified Status
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B3NjiINDvDD/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B3PwWdYDQXc/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B3XY6CFjhIy/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B3nG3cBjR7_/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B3pcApGDLZN/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B3rrhOcDq5-/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B474drYjakf/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B4AuqDDjtUW/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B4CcdkUDIp2/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B4ShAzbjgxe/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B4VVAdCDsev/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B4VVc8ODxFS/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B4c0is-DPuz/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B4dcNo8DZ4d/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B4flU2tjo4v/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B4vCdF-jFri/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B4xX4jGjsH4/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B589-CXjr3z/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B59QoOKD4ab/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B5ImAwUj_jO/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B5RRQCgjCEH/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B5dHYnGjznp/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B5oePLmjofq/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B5q3PtwD_Fg/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B5tIX0PDxQP/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B5tjIK_j_9V/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B5v31knDAlD/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B6HGLNujO5x/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B6ThQK0D46T/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B6_Iq0zjEJh/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B6gh5m1j0qv/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B74V6VMjsbZ/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B7G5G4hjEOU/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B7HGMCrDFyU/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
