Links to profile,Links to publication,Name Account/Influencer,Professional Activity,Account description,Number of posts,Number of followers,Number of followings,Verified Status,Post description,Post number of comments,Post number of likes,Posting date,Media Type
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B2b8GBVD7g1/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,new @wkorea cover by @hugocomte 🧨,7041,"1,702,476",2019-09-15T15:16:08.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B2cIL5ZDi4X/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,@wkorea by @hugocomte,6009,"3,800,369",2019-09-15T17:02:34.000Z,Video
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B2e1teED5Oi/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,"finale at @burberry
a beautiful show @riccardotisci17 🖤",15872,"10,783,211",2019-09-16T18:19:22.000Z,Video
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B2orCWHjblY/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,👩🏼‍🎨,17068,"5,039,594",2019-09-20T13:57:13.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B2qF8kjjEOs/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,No caption,21680,"4,562,047",2019-09-21T03:11:35.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B2velK1Dwsg/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,No caption,11950,"3,601,701",2019-09-23T05:23:03.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B2w3-HMjHGD/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,swipe for me and my twin,30216,"5,010,499",2019-09-23T18:24:09.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B32TU_ADjhI/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,"the 1
@dexternavy",16507,"4,062,160",2019-10-20T17:30:48.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B3FAo0PDwJ8/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,we don’t date he’s just my date 🖤,26209,"6,966,511",2019-10-01T14:04:42.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B3FLBIRj5tq/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,MY FRIENDS 🤤,9541,"3,006,484",2019-10-01T15:35:24.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B3H3YbtguuW/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,@reserved #ad,15641,"4,545,596",2019-10-02T16:41:32.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B3KOajjjCVy/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,"look mom i’m a mermaid
new @reserved video by @gvsgvs 🧜🏼‍♀️ #CiaoKendall #KendallForReserved #ad",14562,"2,126,792",2019-10-03T14:41:17.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B3NjiINDvDD/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,Happy birthday @calvinklein! It’s such an honor to celebrate 50 years of #mycalvins #CK50,5519,"4,546,310",2019-10-04T21:50:14.000Z,Video
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B3PwWdYDQXc/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,new @maisonvalentino by @inezandvinoodh,10880,"1,108,814",2019-10-05T18:14:02.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B3XY6CFjhIy/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,Lounging in #mycalvins for #ck50 @calvinklein,21604,"3,557,621",2019-10-08T17:23:06.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B3nG3cBjR7_/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,psycho + psycho = ❤️,11684,"3,865,384",2019-10-14T19:53:18.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B3pcApGDLZN/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,new @voguemagazine story by @studio_jackson !,8070,"1,782,454",2019-10-15T17:36:32.000Z,Photo
